*** COUNTS ***
280×2 DataFrame
 Row │ DP               N
     │ String15         Int64
─────┼────────────────────────
 189 │ 2021 Nov            27
 190 │ 2021 Nov 1           2
 191 │ 2021 Nov 11          1
 192 │ 2021 Nov 15          1
 193 │ 2021 Nov 19          2
 194 │ 2021 Nov 22          1
 195 │ 2021 Nov 26          1
 196 │ 2021 Nov 3           1
 197 │ 2021 Nov 30          1
 198 │ 2021 Nov 5           2
 199 │ 2021 Nov 8           1
 200 │ 2021 Nov-Dec         2
 201 │ 2021 Nov-Dec 23      1
 202 │ 2021 Oct            21
 203 │ 2021 Oct 1           6
 204 │ 2021 Oct 11          2
 205 │ 2021 Oct 15          1
 206 │ 2021 Oct 2           1
 207 │ 2021 Oct 28          1
 208 │ 2021 Oct 29          1
 209 │ 2021 Oct 7           2
 210 │ 2021 Oct 8           2
 211 │ 2021 Sep            13
 212 │ 2021 Sep 1           2
 213 │ 2021 Sep 10          1
 214 │ 2021 Sep 14          1
 215 │ 2021 Sep 15          1
 216 │ 2021 Sep 16          2
 217 │ 2021 Sep 21          1
 218 │ 2021 Sep 28          2
 219 │ 2021 Sep 29          1
 220 │ 2021 Sep 3           1
 221 │ 2021 Sep 30          1
 222 │ 2021 Sep 8           1
 223 │ 2021 Sep 9           1
 224 │ 2021 Sep-Oct         2
 225 │ 2021 Summer          1
 226 │ 2022                17
 227 │ 2022 Apr            22
 228 │ 2022 Apr 1           2
 229 │ 2022 Apr 11          1
 230 │ 2022 Apr 12          2
 231 │ 2022 Apr 15          2
 232 │ 2022 Apr 18          1
 233 │ 2022 Apr 2           1
 234 │ 2022 Apr 26          1
 235 │ 2022 Apr 4           2
 236 │ 2022 Apr 5           2
 237 │ 2022 Apr 6           1
 238 │ 2022 Apr 8           1
 239 │ 2022 Feb            22
 240 │ 2022 Feb 1           5
 241 │ 2022 Feb 10          2
 242 │ 2022 Feb 13          1
 243 │ 2022 Feb 15          1
 244 │ 2022 Feb 17          2
 245 │ 2022 Feb 2           1
 246 │ 2022 Feb 21          4
 247 │ 2022 Feb 23          2
 248 │ 2022 Feb 25          2
 249 │ 2022 Feb 28          1
 250 │ 2022 Feb 7           1
 251 │ 2022 Jan            18
 252 │ 2022 Jan 13          1
 253 │ 2022 Jan 22          1
 254 │ 2022 Jan 24          2
 255 │ 2022 Jan 27          2
 256 │ 2022 Jan 29          1
 257 │ 2022 Jan-Dec         1
 258 │ 2022 Jan-Feb         1
 259 │ 2022 Jun             2
 260 │ 2022 Jun 1           1
 261 │ 2022 Mar            19
 262 │ 2022 Mar 1           2
 263 │ 2022 Mar 12          1
 264 │ 2022 Mar 14          5
 265 │ 2022 Mar 15          4
 266 │ 2022 Mar 16          1
 267 │ 2022 Mar 19          1
 268 │ 2022 Mar 2           2
 269 │ 2022 Mar 20          1
 270 │ 2022 Mar 21          1
 271 │ 2022 Mar 23          1
 272 │ 2022 Mar 25          3
 273 │ 2022 Mar 28          1
 274 │ 2022 Mar 3           1
 275 │ 2022 Mar 31          2
 276 │ 2022 Mar 9           1
 277 │ 2022 Mar-Apr         1
 278 │ 2022 May             4
 279 │ 2022 May 1           2
 280 │ 2022 May-Jun 01      1
