*** COUNTS ***
6234×2 DataFrame
  Row │ PM          N
      │ String15    Int64
──────┼───────────────────
  210 │ 1954/01/23      1
  211 │ 1954/02/01      3
  212 │ 1954/02/20      1
  213 │ 1954/03/01      6
  214 │ 1954/03/22      1
  215 │ 1954/04/01      1
  216 │ 1954/04/11      1
  217 │ 1954/05/01      6
  218 │ 1954/05/08      1
  219 │ 1954/05/15      1
  220 │ 1954/06/01      3
  221 │ 1954/06/10      1
  222 │ 1954/06/19      1
  223 │ 1954/06/26      1
  224 │ 1954/07/01      4
  225 │ 1954/07/15      1
  226 │ 1954/07/18      1
  227 │ 1954/07/24      1
  228 │ 1954/07/29      1
  229 │ 1954/08/01      2
  230 │ 1954/08/05      1
  231 │ 1954/08/12      1
  232 │ 1954/09/01      1
  233 │ 1954/09/04      1
  234 │ 1954/09/25      1
  235 │ 1954/09/30      1
  236 │ 1954/10/01      6
  237 │ 1954/11/01      7
  238 │ 1954/11/19      1
  239 │ 1954/11/26      1
  240 │ 1954/12/01      1
  241 │ 1954/12/06      1
  242 │ 1954/12/15      1
  243 │ 1954/12/18      1
  244 │ 1955/01/01     22
  245 │ 1955/01/06      1
  246 │ 1955/02/01      2
  247 │ 1955/02/08      1
  248 │ 1955/02/14      1
  249 │ 1955/02/18      1
  250 │ 1955/02/19      1
  251 │ 1955/02/28      1
  252 │ 1955/03/01      1
  253 │ 1955/03/02      1
  254 │ 1955/03/10      1
  255 │ 1955/04/01      4
  256 │ 1955/04/18      1
  257 │ 1955/05/01      7
  258 │ 1955/05/08      1
  259 │ 1955/05/13      1
  260 │ 1955/05/21      1
  261 │ 1955/05/26      1
  262 │ 1955/06/01      2
  263 │ 1955/06/04      1
  264 │ 1955/06/06      1
  265 │ 1955/06/25      1
  266 │ 1955/07/01      6
  267 │ 1955/07/02      1
  268 │ 1955/07/04      1
  269 │ 1955/07/17      1
  270 │ 1955/08/01      1
  271 │ 1955/08/11      1
  272 │ 1955/08/12      1
  273 │ 1955/08/29      1
  274 │ 1955/09/01      8
  275 │ 1955/09/17      1
  276 │ 1955/09/22      1
  277 │ 1955/09/30      1
  278 │ 1955/10/01      1
  279 │ 1955/10/13      1
  280 │ 1955/11/01      2
  281 │ 1955/11/10      1
  282 │ 1955/12/01      7
  283 │ 1955/12/22      1
  284 │ 1955/12/31      2
  285 │ 1956/01/01     23
  286 │ 1956/01/14      1
  287 │ 1956/02/01      6
  288 │ 1956/03/01      5
  289 │ 1956/03/14      1
  290 │ 1956/03/24      1
  291 │ 1956/03/26      1
  292 │ 1956/04/01      6
  293 │ 1956/04/28      1
  294 │ 1956/05/01      8
  295 │ 1956/05/17      1
  296 │ 1956/06/01      3
  297 │ 1956/07/01      7
  298 │ 1956/07/28      1
  299 │ 1956/08/17      1
  300 │ 1956/09/01      3
  301 │ 1956/09/06      1
  302 │ 1956/09/17      1
  303 │ 1956/10/01      3
  304 │ 1956/10/20      1
  305 │ 1956/11/01      5
  306 │ 1956/11/08      1
  307 │ 1956/11/10      1
  308 │ 1956/11/28      1
  309 │ 1956/12/01      2
  310 │ 1956/12/15      1
  311 │ 1956/12/26      1
  312 │ 1957/01/01     21
  313 │ 1957/01/04      1
  314 │ 1957/02/01      2
  315 │ 1957/02/10      1
  316 │ 1957/02/15      1
  317 │ 1957/03/01      3
  318 │ 1957/03/30      1
  319 │ 1957/04/01      2
  320 │ 1957/04/11      1
  321 │ 1957/05/11      1
  322 │ 1957/06/01      1
  323 │ 1957/06/20      1
  324 │ 1957/06/27      1
  325 │ 1957/07/01      5
  326 │ 1957/07/13      1
  327 │ 1957/07/19      1
  328 │ 1957/08/01      4
  329 │ 1957/08/04      1
  330 │ 1957/08/10      1
  331 │ 1957/08/18      1
  332 │ 1957/08/23      1
  333 │ 1957/09/01      4
  334 │ 1957/09/05      1
  335 │ 1957/10/01      8
  336 │ 1957/10/19      1
  337 │ 1957/10/21      1
  338 │ 1957/11/01      5
  339 │ 1957/11/08      1
  340 │ 1957/11/28      1
  341 │ 1957/11/30      1
  342 │ 1957/12/01      1
  343 │ 1957/12/07      1
  344 │ 1957/12/20      1
  345 │ 1958/01/01     15
  346 │ 1958/01/16      1
  347 │ 1958/01/22      1
  348 │ 1958/01/24      1
  349 │ 1958/02/01      2
  350 │ 1958/03/01      5
  351 │ 1958/03/04      1
  352 │ 1958/03/15      1
  353 │ 1958/03/17      2
  354 │ 1958/03/20      1
  355 │ 1958/03/24      1
  356 │ 1958/04/01      8
  357 │ 1958/04/18      1
  358 │ 1958/04/30      1
  359 │ 1958/05/01     10
  360 │ 1958/05/12      1
  361 │ 1958/06/01      3
  362 │ 1958/07/01      8
  363 │ 1958/07/31      1
  364 │ 1958/08/01      3
  365 │ 1958/08/22      1
  366 │ 1958/09/01      5
  367 │ 1958/09/18      1
  368 │ 1958/10/01      3
  369 │ 1958/10/02      1
  370 │ 1958/10/03      1
  371 │ 1958/10/10      1
  372 │ 1958/10/12      1
  373 │ 1958/10/15      3
  374 │ 1958/10/30      1
  375 │ 1958/11/01      7
  376 │ 1958/12/01      8
  377 │ 1958/12/05      1
  378 │ 1959/01/01     26
  379 │ 1959/01/02      1
  380 │ 1959/01/17      2
  381 │ 1959/02/01      5
  382 │ 1959/02/23      1
  383 │ 1959/03/01      4
  384 │ 1959/03/24      1
  385 │ 1959/04/01      2
  386 │ 1959/04/07      1
  387 │ 1959/04/16      2
  388 │ 1959/04/21      1
  389 │ 1959/04/24      1
  390 │ 1959/05/01      9
  391 │ 1959/05/14      1
  392 │ 1959/05/16      1
  393 │ 1959/06/01      2
  394 │ 1959/06/15      1
  395 │ 1959/06/27      1
  396 │ 1959/07/01      6
  397 │ 1959/07/13      1
  398 │ 1959/07/31      1
  399 │ 1959/08/01      1
  400 │ 1959/08/25      1
  401 │ 1959/09/01      5
  402 │ 1959/09/05      2
  403 │ 1959/09/15      1
  404 │ 1959/10/01      4
  405 │ 1959/10/16      1
  406 │ 1959/10/17      1
  407 │ 1959/10/30      1
  408 │ 1959/11/01      4
  409 │ 1959/11/05      1
  410 │ 1959/11/15      1
  411 │ 1959/12/01      3
  412 │ 1959/12/19      1
  413 │ 1959/12/26      1
  414 │ 1959/12/28      1
  415 │ 1960/01/01     29
  416 │ 1960/01/02      1
  417 │ 1960/01/08      1
  418 │ 1960/01/23      1
  419 │ 1960/02/01      5
  420 │ 1960/02/14      1
  421 │ 1960/02/18      1
  422 │ 1960/02/19      1
  423 │ 1960/03/01      2
  424 │ 1960/03/12      1
  425 │ 1960/03/26      1
  426 │ 1960/04/01      3
  427 │ 1960/04/21      1
  428 │ 1960/04/24      2
  429 │ 1960/05/01      7
  430 │ 1960/05/20      1
  431 │ 1960/06/01      5
  432 │ 1960/06/02      1
  433 │ 1960/06/19      1
  434 │ 1960/06/25      1
  435 │ 1960/06/30      1
  436 │ 1960/07/01      7
  437 │ 1960/07/07      1
  438 │ 1960/08/01      3
  439 │ 1960/08/15      1
  440 │ 1960/09/01      2
  441 │ 1960/10/01      3
  442 │ 1960/10/15      1
  443 │ 1960/11/01      4
  444 │ 1960/11/23      1
  445 │ 1960/12/01      4
  446 │ 1960/12/12      1
  447 │ 1960/12/15      1
  448 │ 1961/01/01     16
  449 │ 1961/01/05      1
  450 │ 1961/02/01      7
  451 │ 1961/03/01      9
  452 │ 1961/03/20      1
  453 │ 1961/03/25      2
  454 │ 1961/03/30      2
  455 │ 1961/03/31      1
  456 │ 1961/04/01      7
  457 │ 1961/04/14      2
  458 │ 1961/04/28      2
  459 │ 1961/05/01     10
  460 │ 1961/05/04      1
  461 │ 1961/05/05      2
  462 │ 1961/05/31      2
  463 │ 1961/06/01      2
  464 │ 1961/06/22      1
  465 │ 1961/06/23      1
  466 │ 1961/06/29      1
  467 │ 1961/07/01      9
  468 │ 1961/07/15      1
  469 │ 1961/07/22      1
  470 │ 1961/08/01      1
  471 │ 1961/08/05      1
  472 │ 1961/08/12      2
  473 │ 1961/08/21      1
  474 │ 1961/08/24      1
  475 │ 1961/09/01     11
  476 │ 1961/09/04      1
  477 │ 1961/09/30      1
  478 │ 1961/10/01      5
  479 │ 1961/10/07      1
  480 │ 1961/10/14      1
  481 │ 1961/10/15      2
  482 │ 1961/11/01      4
  483 │ 1961/11/05      1
  484 │ 1961/11/06      1
  485 │ 1961/11/16      1
  486 │ 1961/11/23      1
  487 │ 1961/12/01      8
  488 │ 1962/01/01     18
