*** COUNTS ***
823×2 DataFrame
 Row │ PM          N
     │ String15    Int64
─────┼───────────────────
 211 │ 2020/08/11    443
 212 │ 2020/08/12    288
 213 │ 2020/08/13     77
 214 │ 2020/08/14    495
 215 │ 2020/08/15    164
 216 │ 2020/08/17    213
 217 │ 2020/08/18    404
 218 │ 2020/08/19    239
 219 │ 2020/08/20    176
 220 │ 2020/08/21    385
 221 │ 2020/08/22    143
 222 │ 2020/08/23    217
 223 │ 2020/08/24     94
 224 │ 2020/08/25   1444
 225 │ 2020/08/26    309
 226 │ 2020/08/27      1
 227 │ 2020/08/28    671
 228 │ 2020/08/29    296
 229 │ 2020/08/30    174
 230 │ 2020/08/31    294
 231 │ 2020/09/01    153
 232 │ 2020/09/02    286
 233 │ 2020/09/03    416
 234 │ 2020/09/04    437
 235 │ 2020/09/05    207
 236 │ 2020/09/06    280
 237 │ 2020/09/07    106
 238 │ 2020/09/08    139
 239 │ 2020/09/09    259
 240 │ 2020/09/10    453
 241 │ 2020/09/11    274
 242 │ 2020/09/12    279
 243 │ 2020/09/13    163
 244 │ 2020/09/14    110
 245 │ 2020/09/15    409
 246 │ 2020/09/16    277
 247 │ 2020/09/17    277
 248 │ 2020/09/18    253
 249 │ 2020/09/19    314
 250 │ 2020/09/20    173
 251 │ 2020/09/21     92
 252 │ 2020/09/22    318
 253 │ 2020/09/23    263
 254 │ 2020/09/24    320
 255 │ 2020/09/25    315
 256 │ 2020/09/26    318
 257 │ 2020/09/27    188
 258 │ 2020/09/28    114
 259 │ 2020/09/29    367
 260 │ 2020/09/30    308
 261 │ 2020/10/01    311
 262 │ 2020/10/02    265
 263 │ 2020/10/03    235
 264 │ 2020/10/04    164
 265 │ 2020/10/05     97
 266 │ 2020/10/06    371
 267 │ 2020/10/07    236
 268 │ 2020/10/08    357
 269 │ 2020/10/09    268
 270 │ 2020/10/10    230
 271 │ 2020/10/11    168
 272 │ 2020/10/12    143
 273 │ 2020/10/13    388
