*** COUNTS ***
4732×2 DataFrame
  Row │ DP                 N
      │ String31           Int64
──────┼──────────────────────────
  197 │ 1952 May 15            1
  198 │ 1952 May 23            1
  199 │ 1952 May 31            1
  200 │ 1952 May-Jun           2
  201 │ 1952 Nov               1
  202 │ 1952 Nov 14            1
  203 │ 1952 Nov 15            1
  204 │ 1952 Nov 30            1
  205 │ 1952 Nov 8             1
  206 │ 1952 Nov-Dec           1
  207 │ 1952 Oct               1
  208 │ 1952 Oct 1             1
  209 │ 1952 Sep               5
  210 │ 1952 Sep 27            1
  211 │ 1952 Sep 5             2
  212 │ 1953                   9
  213 │ 1953 Apr               1
  214 │ 1953 Aug               5
  215 │ 1953 Aug 1             1
  216 │ 1953 Dec               3
  217 │ 1953 Dec 26            1
  218 │ 1953 Dec 31            1
  219 │ 1953 Feb               3
  220 │ 1953 Feb 11            1
  221 │ 1953 Feb 28            1
  222 │ 1953 Feb 8             1
  223 │ 1953 Jan               1
  224 │ 1953 Jan 12            1
  225 │ 1953 Jan 17            1
  226 │ 1953 Jan 3             1
  227 │ 1953 Jul               3
  228 │ 1953 Jul 11            1
  229 │ 1953 Jul 16            1
  230 │ 1953 Jun               3
  231 │ 1953 Jun 20            2
  232 │ 1953 Jun 27            1
  233 │ 1953 Mar               1
  234 │ 1953 Mar 31            1
  235 │ 1953 Mar-Apr           2
  236 │ 1953 May               3
  237 │ 1953 May 1-15          1
  238 │ 1953 May 20            1
  239 │ 1953 May 23            1
  240 │ 1953 May 29            2
  241 │ 1953 May 30            1
  242 │ 1953 May-Jun           1
  243 │ 1953 Nov               5
  244 │ 1953 Nov 1             1
  245 │ 1953 Nov 8             1
  246 │ 1953 Nov-Dec           1
  247 │ 1953 Oct               5
  248 │ 1953 Oct 15            1
  249 │ 1953 Oct 5             1
  250 │ 1953 Oct 8             1
  251 │ 1953 Sep               3
  252 │ 1953 Sep 1             1
  253 │ 1953 Sep 15            2
  254 │ 1953 Sep 25            1
  255 │ 1954                   7
  256 │ 1954 Apr               1
  257 │ 1954 Apr 11            1
  258 │ 1954 Aug               2
  259 │ 1954 Aug 12            1
  260 │ 1954 Aug 5             1
  261 │ 1954 Dec               1
  262 │ 1954 Dec 15            1
  263 │ 1954 Dec 18            1
  264 │ 1954 Dec 6             1
  265 │ 1954 Feb               3
  266 │ 1954 Feb 20            1
  267 │ 1954 Jan               7
  268 │ 1954 Jan 1             1
  269 │ 1954 Jan 23            1
  270 │ 1954 Jan-Feb           3
  271 │ 1954 Jul               3
  272 │ 1954 Jul 15            1
  273 │ 1954 Jul 18            1
  274 │ 1954 Jul 24            1
  275 │ 1954 Jul 29            1
  276 │ 1954 Jul-Aug           1
  277 │ 1954 Jun               3
  278 │ 1954 Jun 10            1
  279 │ 1954 Jun 19            1
  280 │ 1954 Jun 26            1
  281 │ 1954 Mar               4
  282 │ 1954 Mar 22            1
  283 │ 1954 Mar-Apr           2
  284 │ 1954 May               6
  285 │ 1954 May 15            1
  286 │ 1954 May 8             1
  287 │ 1954 Nov               6
  288 │ 1954 Nov 19            1
  289 │ 1954 Nov 26            1
  290 │ 1954 Nov-Dec           1
  291 │ 1954 Oct               6
  292 │ 1954 Sep               1
  293 │ 1954 Sep 25            1
  294 │ 1954 Sep 30            1
  295 │ 1954 Sep 4             1
  296 │ 1955                  17
  297 │ 1955 Apr               3
  298 │ 1955 Apr 18            1
  299 │ 1955 Apr-Jun           1
  300 │ 1955 Aug               1
  301 │ 1955 Aug 11            1
  302 │ 1955 Aug 12            1
  303 │ 1955 Aug 29            1
  304 │ 1955 Dec               7
  305 │ 1955 Dec 22            1
  306 │ 1955 Dec 31            2
  307 │ 1955 Feb               2
  308 │ 1955 Feb 14            1
  309 │ 1955 Feb 18            1
  310 │ 1955 Feb 19            1
  311 │ 1955 Feb 28            1
  312 │ 1955 Feb 8             1
  313 │ 1955 Jan               4
  314 │ 1955 Jan 6             1
  315 │ 1955 Jan-Feb           1
  316 │ 1955 Jul               4
  317 │ 1955 Jul 17            1
  318 │ 1955 Jul 2             1
  319 │ 1955 Jul 4             1
  320 │ 1955 Jul-Aug           2
  321 │ 1955 Jun               2
  322 │ 1955 Jun 25            1
  323 │ 1955 Jun 4             1
  324 │ 1955 Jun 6             1
  325 │ 1955 Mar               1
  326 │ 1955 Mar 10            1
  327 │ 1955 Mar 2             1
  328 │ 1955 May               7
  329 │ 1955 May 13            1
  330 │ 1955 May 21            1
  331 │ 1955 May 26            1
  332 │ 1955 May 8             1
  333 │ 1955 Nov               1
  334 │ 1955 Nov 10            1
  335 │ 1955 Nov-Dec           1
  336 │ 1955 Oct               1
  337 │ 1955 Oct 13            1
  338 │ 1955 Sep               7
  339 │ 1955 Sep 17            1
  340 │ 1955 Sep 22            1
  341 │ 1955 Sep 30            1
  342 │ 1955 Sep-Oct           1
  343 │ 1956                  17
  344 │ 1956 Apr               6
  345 │ 1956 Apr 28            1
  346 │ 1956 Aug 17            1
  347 │ 1956 Dec               2
  348 │ 1956 Dec 15            1
  349 │ 1956 Dec 26            1
  350 │ 1956 Feb               6
  351 │ 1956 Jan               5
  352 │ 1956 Jan 1             1
  353 │ 1956 Jan 14            1
  354 │ 1956 Jul               4
  355 │ 1956 Jul 28            1
  356 │ 1956 Jul-Aug           2
  357 │ 1956 Jul-Sep           1
  358 │ 1956 Jun               3
  359 │ 1956 Mar               3
  360 │ 1956 Mar 14            1
  361 │ 1956 Mar 24            1
  362 │ 1956 Mar 26            1
  363 │ 1956 Mar-Apr           2
  364 │ 1956 May               6
  365 │ 1956 May 1             1
  366 │ 1956 May 17            1
