*** COUNTS ***
4732×2 DataFrame
  Row │ DP                 N
      │ String31           Int64
──────┼──────────────────────────
  836 │ 1966 Jan 15            1
  837 │ 1966 Jan 22            1
  838 │ 1966 Jan 27            1
  839 │ 1966 Jan-Feb           2
  840 │ 1966 Jan-Mar           1
  841 │ 1966 Jul               2
  842 │ 1966 Jul 1             1
  843 │ 1966 Jul 22            1
  844 │ 1966 Jul 23            1
  845 │ 1966 Jul 9             1
  846 │ 1966 Jul-Aug           3
  847 │ 1966 Jul-Sep           1
  848 │ 1966 Jun               6
  849 │ 1966 Jun 26            1
  850 │ 1966 Jun 30            1
  851 │ 1966 Mar               7
  852 │ 1966 Mar 11            1
  853 │ 1966 May               4
  854 │ 1966 May 15            1
  855 │ 1966 May 16            1
  856 │ 1966 May 19            1
  857 │ 1966 Nov               8
  858 │ 1966 Nov 16            1
  859 │ 1966 Nov 3             1
  860 │ 1966 Nov 4             1
  861 │ 1966 Nov-Dec           1
  862 │ 1966 Oct               7
  863 │ 1966 Oct 13            1
  864 │ 1966 Oct 20            1
  865 │ 1966 Oct 27            1
  866 │ 1966 Oct 29            1
  867 │ 1966 Sep               6
  868 │ 1966 Sep 24            1
  869 │ 1966 Sep 30            1
  870 │ 1966 Sep 8             1
  871 │ 1966 Sep 9             2
  872 │ 1966 Sep-Oct           2
  873 │ 1967                  33
  874 │ 1967 Apr               8
  875 │ 1967 Apr 22            1
  876 │ 1967 Aug               6
  877 │ 1967 Aug 25            1
  878 │ 1967 Aug 5             1
  879 │ 1967 Dec               9
  880 │ 1967 Dec 15            1
  881 │ 1967 Dec 19            1
  882 │ 1967 Dec 21            2
  883 │ 1967 Dec 28            1
  884 │ 1967 Dec 9             1
  885 │ 1967 Feb               8
  886 │ 1967 Feb 1             2
  887 │ 1967 Feb 2             1
  888 │ 1967 Feb 20            1
  889 │ 1967 Feb 23            1
  890 │ 1967 Feb 24            1
  891 │ 1967 Jan               3
  892 │ 1967 Jan 15            1
  893 │ 1967 Jan 24            1
  894 │ 1967 Jan 28            1
  895 │ 1967 Jan 30            1
  896 │ 1967 Jan 6             1
  897 │ 1967 Jan-Feb           4
  898 │ 1967 Jan-Mar           2
  899 │ 1967 Jul               5
  900 │ 1967 Jul 17            1
  901 │ 1967 Jul 28            1
  902 │ 1967 Jul 29            1
  903 │ 1967 Jul-Aug           3
  904 │ 1967 Jul-Sep           1
  905 │ 1967 Jun               8
  906 │ 1967 Jun 23            2
  907 │ 1967 Jun 5             1
  908 │ 1967 Mar               6
  909 │ 1967 Mar 10            1
  910 │ 1967 Mar 14            1
  911 │ 1967 Mar 15            2
  912 │ 1967 Mar 18            1
  913 │ 1967 Mar 31            1
  914 │ 1967 Mar-Apr           1
  915 │ 1967 May               4
  916 │ 1967 May 12            1
  917 │ 1967 May-Jun           1
  918 │ 1967 Nov               7
  919 │ 1967 Nov 10            1
  920 │ 1967 Nov 11            1
  921 │ 1967 Nov 18            1
  922 │ 1967 Nov-Dec           1
  923 │ 1967 Oct               5
  924 │ 1967 Oct 1             1
  925 │ 1967 Oct 20            1
  926 │ 1967 Oct 27            1
  927 │ 1967 Oct 6             1
  928 │ 1967 Oct 9             1
  929 │ 1967 Sep              10
  930 │ 1967 Sep 1             1
  931 │ 1967 Sep 11            1
  932 │ 1967 Sep 14            1
  933 │ 1967 Sep 21            1
  934 │ 1967 Sep 9             1
  935 │ 1967 Sep-Oct           2
  936 │ 1968                  35
  937 │ 1968 Apr              10
  938 │ 1968 Apr 1             2
  939 │ 1968 Apr 13            1
  940 │ 1968 Apr 15            1
  941 │ 1968 Apr 6             1
  942 │ 1968 Apr-Jun           3
  943 │ 1968 Aug               4
  944 │ 1968 Aug 15            1
  945 │ 1968 Aug 17            1
  946 │ 1968 Aug 30            2
  947 │ 1968 Aug 31            3
  948 │ 1968 Aug-Sep           1
  949 │ 1968 Dec               8
  950 │ 1968 Dec 14            1
  951 │ 1968 Dec 20            1
  952 │ 1968 Dec 27            1
  953 │ 1968 Feb              14
  954 │ 1968 Feb 16            2
  955 │ 1968 Jan               8
  956 │ 1968 Jan 1             1
  957 │ 1968 Jan 15            1
  958 │ 1968 Jan 17            1
  959 │ 1968 Jan 5             1
  960 │ 1968 Jan-Feb           2
  961 │ 1968 Jul               4
  962 │ 1968 Jul 20            1
  963 │ 1968 Jun               6
  964 │ 1968 Jun 15            1
  965 │ 1968 Jun 7             1
  966 │ 1968 Jun 9             2
  967 │ 1968 Mar              10
  968 │ 1968 Mar 1             1
  969 │ 1968 Mar 15            2
  970 │ 1968 Mar 18            1
  971 │ 1968 Mar 22            1
  972 │ 1968 Mar 26            1
  973 │ 1968 Mar 29            1
  974 │ 1968 Mar 31            1
  975 │ 1968 Mar 9             1
  976 │ 1968 Mar-Jun           1
  977 │ 1968 May               6
  978 │ 1968 May 1             2
  979 │ 1968 May 10            1
  980 │ 1968 May 18            1
  981 │ 1968 May 25            1
  982 │ 1968 May 3             1
  983 │ 1968 May 31            1
  984 │ 1968 May 6             1
  985 │ 1968 May-Jun           3
  986 │ 1968 Nov               5
  987 │ 1968 Nov 14            1
  988 │ 1968 Nov 30            2
  989 │ 1968 Nov-Dec           3
  990 │ 1968 Oct               9
  991 │ 1968 Oct 17            1
  992 │ 1968 Oct 18            3
  993 │ 1968 Oct 19            1
  994 │ 1968 Oct 4             1
  995 │ 1968 Sep               6
  996 │ 1968 Sep 1             1
  997 │ 1968 Sep-Dec           1
  998 │ 1968 Sep-Oct           2
  999 │ 1968 Winter            1
 1000 │ 1969                  25
 1001 │ 1969 Apr               4
 1002 │ 1969 Apr 1             1
 1003 │ 1969 Apr 18            1
 1004 │ 1969 Apr 24            1
 1005 │ 1969 Aug               8
 1006 │ 1969 Aug 1             1
 1007 │ 1969 Aug 30            2
 1008 │ 1969 Dec              11
 1009 │ 1969 Dec 11            2
 1010 │ 1969 Dec 15            2
 1011 │ 1969 Feb               5
 1012 │ 1969 Feb 15            1
 1013 │ 1969 Jan               9
 1014 │ 1969 Jan 1             1
 1015 │ 1969 Jan 15            1
 1016 │ 1969 Jan 17            1
 1017 │ 1969 Jan 20            1
 1018 │ 1969 Jan 23            1
 1019 │ 1969 Jan 31            3
 1020 │ 1969 Jan-Dec           2
 1021 │ 1969 Jan-Feb           2
 1022 │ 1969 Jul               6
 1023 │ 1969 Jul 1             5
 1024 │ 1969 Jul 15            1
 1025 │ 1969 Jul 18            1
 1026 │ 1969 Jul 25            1
 1027 │ 1969 Jul 31            1
 1028 │ 1969 Jul 5             1
 1029 │ 1969 Jul-Aug           6
 1030 │ 1969 Jun               6
 1031 │ 1969 Jun 18            1
 1032 │ 1969 Jun 30            2
 1033 │ 1969 Jun 5             1
 1034 │ 1969 Jun 6             1
 1035 │ 1969 Mar              10
 1036 │ 1969 Mar-Apr           1
 1037 │ 1969 May              11
 1038 │ 1969 May 1             1
 1039 │ 1969 May 15            1
 1040 │ 1969 May 2             2
 1041 │ 1969 May 23            1
 1042 │ 1969 May-Jun           2
 1043 │ 1969 Nov               7
 1044 │ 1969 Nov 14            1
 1045 │ 1969 Nov 16            1
 1046 │ 1969 Nov 21            2
 1047 │ 1969 Nov 28            1
 1048 │ 1969 Nov 9             1
 1049 │ 1969 Nov-Dec           1
 1050 │ 1969 Oct              13
 1051 │ 1969 Oct 25            1
 1052 │ 1969 Sep               7
 1053 │ 1969 Sep 1             1
 1054 │ 1969 Sep 13            1
 1055 │ 1969 Sep 15            1
 1056 │ 1969 Sep 18            1
 1057 │ 1969 Sep-Oct           2
 1058 │ 1970                  21
 1059 │ 1970 Apr               5
 1060 │ 1970 Apr 1             1
 1061 │ 1970 Apr 11            1
 1062 │ 1970 Apr 15            1
 1063 │ 1970 Apr 3             1
 1064 │ 1970 Aug               9
 1065 │ 1970 Aug 1             2
 1066 │ 1970 Aug 15            2
 1067 │ 1970 Aug 21            1
 1068 │ 1970 Aug 22            1
 1069 │ 1970 Aug 31            1
 1070 │ 1970 Dec              10
 1071 │ 1970 Dec 19            1
 1072 │ 1970 Dec 5             1
 1073 │ 1970 Feb               9
 1074 │ 1970 Feb 14            1
 1075 │ 1970 Feb 15            1
 1076 │ 1970 Feb 21            1
 1077 │ 1970 Feb 25            1
 1078 │ 1970 Jan               4
 1079 │ 1970 Jan 2             1
 1080 │ 1970 Jan 23            1
 1081 │ 1970 Jan 29            2
 1082 │ 1970 Jan-Feb           3
 1083 │ 1970 Jan-Mar           3
 1084 │ 1970 Jul              11
 1085 │ 1970 Jul 30            1
 1086 │ 1970 Jun               7
 1087 │ 1970 Jun 1             2
 1088 │ 1970 Jun 27            1
 1089 │ 1970 Jun 6             1
 1090 │ 1970 Mar               5
 1091 │ 1970 Mar 20            1
 1092 │ 1970 Mar 21            1
 1093 │ 1970 Mar 24            1
 1094 │ 1970 Mar 28            2
 1095 │ 1970 Mar 7             1
 1096 │ 1970 May               8
 1097 │ 1970 May 1             1
 1098 │ 1970 May 15            1
 1099 │ 1970 May 16            1
 1100 │ 1970 May 2             1
 1101 │ 1970 May 23            1
 1102 │ 1970 May 30            1
 1103 │ 1970 May 8             1
 1104 │ 1970 May-Jun           1
 1105 │ 1970 Nov               8
 1106 │ 1970 Nov 12            1
 1107 │ 1970 Nov 28            1
 1108 │ 1970 Nov 30            1
 1109 │ 1970 Nov-Dec           1
 1110 │ 1970 Oct               5
 1111 │ 1970 Oct 1             1
 1112 │ 1970 Oct 15            1
 1113 │ 1970 Oct 24            1
 1114 │ 1970 Oct 30            1
 1115 │ 1970 Oct-Nov           1
 1116 │ 1970 Sep              10
 1117 │ 1970 Sep 1             1
 1118 │ 1970 Sep 10            1
 1119 │ 1970 Sep 15            1
 1120 │ 1970 Sep 18            1
 1121 │ 1970 Sep 19            2
 1122 │ 1970 Sep-Oct           2
 1123 │ 1971                  39
 1124 │ 1971 Apr               7
 1125 │ 1971 Apr 1             1
 1126 │ 1971 Apr 10            1
 1127 │ 1971 Apr 14            1
 1128 │ 1971 Apr 16            1
 1129 │ 1971 Apr 30            1
 1130 │ 1971 Apr-Jun           1
 1131 │ 1971 Aug               8
 1132 │ 1971 Aug 1             1
 1133 │ 1971 Aug 15            1
 1134 │ 1971 Aug 7             1
 1135 │ 1971 Aug-Sep           1
 1136 │ 1971 Dec              11
 1137 │ 1971 Dec 1             1
 1138 │ 1971 Dec 10            1
 1139 │ 1971 Dec 18            1
 1140 │ 1971 Dec 24            2
 1141 │ 1971 Feb               8
 1142 │ 1971 Feb 15            1
 1143 │ 1971 Feb 20            1
 1144 │ 1971 Feb 22            1
 1145 │ 1971 Feb 25            1
 1146 │ 1971 Jan               8
 1147 │ 1971 Jan-Feb           2
 1148 │ 1971 Jan-Mar           2
 1149 │ 1971 Jul              15
 1150 │ 1971 Jul 10            1
 1151 │ 1971 Jul 15            2
 1152 │ 1971 Jul 19            1
 1153 │ 1971 Jul 26            2
 1154 │ 1971 Jul 9             1
 1155 │ 1971 Jul-Aug           2
 1156 │ 1971 Jun               9
 1157 │ 1971 Jun 15            1
 1158 │ 1971 Jun 5             1
 1159 │ 1971 Mar               5
 1160 │ 1971 Mar 6             1
 1161 │ 1971 Mar-Apr           1
 1162 │ 1971 May               5
 1163 │ 1971 May 1             2
 1164 │ 1971 May 14            1
 1165 │ 1971 May-Jun           1
 1166 │ 1971 Nov               9
 1167 │ 1971 Nov 10            1
 1168 │ 1971 Nov 13            1
 1169 │ 1971 Nov 4             1
 1170 │ 1971 Nov 8             1
 1171 │ 1971 Nov-Dec           2
 1172 │ 1971 Oct              10
 1173 │ 1971 Oct 11            1
 1174 │ 1971 Oct 22            1
 1175 │ 1971 Oct-Dec           1
 1176 │ 1971 Sep               5
 1177 │ 1971 Sep-Dec           1
 1178 │ 1971 Sep-Oct           3
 1179 │ 1972                  31
 1180 │ 1972 Apr               6
 1181 │ 1972 Apr 1             1
 1182 │ 1972 Apr 15            1
 1183 │ 1972 Apr 22            1
 1184 │ 1972 Apr 4             1
 1185 │ 1972 Apr 7             1
 1186 │ 1972 Aug              11
 1187 │ 1972 Aug 10            1
 1188 │ 1972 Aug 26            1
 1189 │ 1972 Aug 4             2
 1190 │ 1972 Dec              13
 1191 │ 1972 Dec 18            1
 1192 │ 1972 Dec 8             1
 1193 │ 1972 Feb               6
 1194 │ 1972 Feb 10            1
 1195 │ 1972 Feb 4             1
 1196 │ 1972 Feb 8             1
 1197 │ 1972 Jan              12
 1198 │ 1972 Jan 15            1
 1199 │ 1972 Jan 29            1
 1200 │ 1972 Jan-Feb           1
 1201 │ 1972 Jul               5
 1202 │ 1972 Jul 15            1
 1203 │ 1972 Jul 8             1
 1204 │ 1972 Jul-Aug           1
 1205 │ 1972 Jun               9
 1206 │ 1972 Jun 4             2
 1207 │ 1972 Mar               6
 1208 │ 1972 Mar 4             1
 1209 │ 1972 Mar-Apr           4
 1210 │ 1972 May               3
 1211 │ 1972 May 18            1
 1212 │ 1972 May-Jun           1
 1213 │ 1972 Nov              10
 1214 │ 1972 Nov 26            1
 1215 │ 1972 Nov 4             1
 1216 │ 1972 Nov 5             1
 1217 │ 1972 Nov 9             1
 1218 │ 1972 Nov-Dec           4
 1219 │ 1972 Oct              14
 1220 │ 1972 Oct 14            1
 1221 │ 1972 Oct 2             1
 1222 │ 1972 Oct 20            1
 1223 │ 1972 Oct 7             1
 1224 │ 1972 Oct-Dec           2
 1225 │ 1972 Sep              10
 1226 │ 1972 Sep 29            1
 1227 │ 1972 Sep 30            2
 1228 │ 1972 Sep 9             1
 1229 │ 1972 Spring            1
 1230 │ 1973                  29
 1231 │ 1973 Apr               4
 1232 │ 1973 Apr 21            1
 1233 │ 1973 Apr-Jun           4
 1234 │ 1973 Aug               7
 1235 │ 1973 Aug 18            1
 1236 │ 1973 Aug 31            1
 1237 │ 1973 Dec               5
 1238 │ 1973 Dec 14            1
 1239 │ 1973 Dec 15            1
 1240 │ 1973 Dec 2             1
 1241 │ 1973 Dec 22            1
 1242 │ 1973 Dec 26            1
 1243 │ 1973 Feb               9
 1244 │ 1973 Feb 1             1
 1245 │ 1973 Jan               7
 1246 │ 1973 Jan 26            1
 1247 │ 1973 Jan 29            1
 1248 │ 1973 Jan-Feb           2
 1249 │ 1973 Jan-Mar           1
 1250 │ 1973 Jul               5
 1251 │ 1973 Jul 20            1
 1252 │ 1973 Jul 5             1
 1253 │ 1973 Jul-Aug           2
 1254 │ 1973 Jul-Sep           1
 1255 │ 1973 Jun               4
 1256 │ 1973 Jun 29            1
 1257 │ 1973 Mar              14
 1258 │ 1973 Mar 1             1
 1259 │ 1973 Mar 15            1
 1260 │ 1973 Mar 6             1
 1261 │ 1973 Mar-Apr           1
 1262 │ 1973 May               7
 1263 │ 1973 May-Jun           3
 1264 │ 1973 Nov               5
 1265 │ 1973 Nov 11            1
 1266 │ 1973 Nov-Dec           2
 1267 │ 1973 Oct               5
 1268 │ 1973 Oct 1             1
 1269 │ 1973 Sep               5
 1270 │ 1973 Sep 15            3
 1271 │ 1973 Sep 22            2
 1272 │ 1973 Sep 7             1
 1273 │ 1974                  25
 1274 │ 1974 Apr              14
 1275 │ 1974 Apr 14            1
 1276 │ 1974 Apr 20            1
 1277 │ 1974 Apr 26            2
 1278 │ 1974 Aug              11
 1279 │ 1974 Aug 10            1
 1280 │ 1974 Aug 30            1
 1281 │ 1974 Dec               4
 1282 │ 1974 Feb               7
 1283 │ 1974 Feb 15            1
 1284 │ 1974 Feb 25            1
 1285 │ 1974 Jan               8
 1286 │ 1974 Jan 15            2
 1287 │ 1974 Jan 21            1
 1288 │ 1974 Jan-Feb           2
 1289 │ 1974 Jan-Mar           2
 1290 │ 1974 Jul              14
 1291 │ 1974 Jul 1             1
 1292 │ 1974 Jul-Aug           5
 1293 │ 1974 Jul-Sep           1
 1294 │ 1974 Jun               8
 1295 │ 1974 Jun 21            1
 1296 │ 1974 Jun 27            1
 1297 │ 1974 Mar              13
 1298 │ 1974 Mar 15            2
 1299 │ 1974 Mar-Apr           1
 1300 │ 1974 May               2
 1301 │ 1974 May 1             1
 1302 │ 1974 May 10            1
 1303 │ 1974 May 15            1
 1304 │ 1974 May-Jun           2
 1305 │ 1974 Nov               8
 1306 │ 1974 Nov 1             1
 1307 │ 1974 Nov 18            1
 1308 │ 1974 Nov 22            1
 1309 │ 1974 Oct              13
 1310 │ 1974 Oct 10            1
 1311 │ 1974 Oct 26            1
 1312 │ 1974 Oct 4             1
 1313 │ 1974 Oct 8             1
 1314 │ 1974 Oct-Dec           4
 1315 │ 1974 Sep              14
 1316 │ 1974 Sep 1             1
 1317 │ 1974 Sep 13            1
 1318 │ 1974 Sep 14            1
 1319 │ 1974 Sep 21            1
 1320 │ 1974 Sep 27            1
 1321 │ 1974 Sep 28            1
 1322 │ 1974 Sep 30            1
 1323 │ 1974 Sep-Oct           2
 1324 │ 1974 Summer            1
 1325 │ 1975                  26
 1326 │ 1975 Apr               6
 1327 │ 1975 Apr 10            1
 1328 │ 1975 Apr 11            1
 1329 │ 1975 Apr 26            1
 1330 │ 1975 Aug               9
 1331 │ 1975 Aug 1             1
 1332 │ 1975 Aug 15            1
 1333 │ 1975 Aug 2             1
 1334 │ 1975 Aug 22            1
 1335 │ 1975 Aug 8             1
 1336 │ 1975 Aug-Sep           1
 1337 │ 1975 Dec               3
 1338 │ 1975 Dec 3             1
 1339 │ 1975 Feb               9
 1340 │ 1975 Feb 1             1
 1341 │ 1975 Feb 18            1
 1342 │ 1975 Feb 21            1
 1343 │ 1975 Feb 3             1
 1344 │ 1975 Jan               5
 1345 │ 1975 Jan 1             1
 1346 │ 1975 Jan 27            1
 1347 │ 1975 Jan 29            1
 1348 │ 1975 Jan-Dec           1
 1349 │ 1975 Jan-Feb           3
 1350 │ 1975 Jul               2
 1351 │ 1975 Jul 15            1
 1352 │ 1975 Jul 31            1
 1353 │ 1975 Jul 4             1
 1354 │ 1975 Jul-Aug           2
 1355 │ 1975 Jun               6
 1356 │ 1975 Jun 24            1
 1357 │ 1975 Jun 6             1
 1358 │ 1975 Mar               4
 1359 │ 1975 Mar 10            1
 1360 │ 1975 Mar 15            1
 1361 │ 1975 Mar 7             1
 1362 │ 1975 Mar-Apr           1
 1363 │ 1975 May               7
 1364 │ 1975 May 10            1
 1365 │ 1975 May 11            1
 1366 │ 1975 May 17            1
 1367 │ 1975 May 24            1
 1368 │ 1975 May-Jun           3
 1369 │ 1975 Nov              14
 1370 │ 1975 Nov 1             1
 1371 │ 1975 Nov-Dec           2
 1372 │ 1975 Oct               3
 1373 │ 1975 Oct 1             1
 1374 │ 1975 Oct 15            1
 1375 │ 1975 Sep              10
 1376 │ 1975 Sep 12            1
 1377 │ 1975 Sep 16            1
 1378 │ 1975 Sep 18            1
 1379 │ 1976                  20
 1380 │ 1976 Apr               6
 1381 │ 1976 Apr 23            1
 1382 │ 1976 Apr 9             2
 1383 │ 1976 Apr-Jun           1
 1384 │ 1976 Aug               4
 1385 │ 1976 Aug 13            1
 1386 │ 1976 Dec               8
 1387 │ 1976 Dec 1             1
 1388 │ 1976 Dec 11            1
 1389 │ 1976 Feb               3
 1390 │ 1976 Feb 10            1
 1391 │ 1976 Feb 26            1
 1392 │ 1976 Feb 6             1
 1393 │ 1976 Jan               5
 1394 │ 1976 Jan 10            1
 1395 │ 1976 Jan 12            1
 1396 │ 1976 Jan 31            1
 1397 │ 1976 Jan-Mar           1
 1398 │ 1976 Jul               4
 1399 │ 1976 Jul-Aug           2
 1400 │ 1976 Jul-Sep           3
 1401 │ 1976 Jun               4
 1402 │ 1976 Jun 11            1
 1403 │ 1976 Jun 14            1
 1404 │ 1976 Jun 21            1
 1405 │ 1976 Jun 25            1
 1406 │ 1976 Mar               4
 1407 │ 1976 Mar 13            1
 1408 │ 1976 Mar 6             1
 1409 │ 1976 Mar-Apr           3
 1410 │ 1976 May               1
 1411 │ 1976 May 19            1
 1412 │ 1976 May-Jun           5
 1413 │ 1976 Nov               5
 1414 │ 1976 Nov 11            1
 1415 │ 1976 Nov-Dec           1
 1416 │ 1976 Oct               7
 1417 │ 1976 Oct 14            1
 1418 │ 1976 Oct 30            1
 1419 │ 1976 Oct-Dec           3
 1420 │ 1976 Sep               7
 1421 │ 1976 Sep 17            1
 1422 │ 1976 Sep 6             1
 1423 │ 1976 Sep 8             1
 1424 │ 1976 Sep-Oct           1
 1425 │ 1977                   9
 1426 │ 1977 Apr               9
 1427 │ 1977 Apr 17-21         1
 1428 │ 1977 Apr 18            1
 1429 │ 1977 Apr 25            1
 1430 │ 1977 Apr 9             1
 1431 │ 1977 Apr-Jun           1
 1432 │ 1977 Aug               5
 1433 │ 1977 Aug 12            1
 1434 │ 1977 Aug 15            1
 1435 │ 1977 Aug 31            1
 1436 │ 1977 Aug 5             1
 1437 │ 1977 Aug 6             1
 1438 │ 1977 Dec               3
 1439 │ 1977 Dec 10            1
 1440 │ 1977 Dec 18            1
 1441 │ 1977 Fall              4
 1442 │ 1977 Feb               7
 1443 │ 1977 Feb 1             1
 1444 │ 1977 Feb 16            1
 1445 │ 1977 Jan               7
 1446 │ 1977 Jan 1             1
 1447 │ 1977 Jan-Mar           2
 1448 │ 1977 Jul               5
 1449 │ 1977 Jul 31            1
 1450 │ 1977 Jun               4
 1451 │ 1977 Jun 1             1
 1452 │ 1977 Jun 10            1
 1453 │ 1977 Mar               5
 1454 │ 1977 Mar 1             1
 1455 │ 1977 Mar 17            1
 1456 │ 1977 Mar 25            1
 1457 │ 1977 Mar 31            1
 1458 │ 1977 Mar-Apr           1
 1459 │ 1977 Mar-Jun           1
 1460 │ 1977 May              11
 1461 │ 1977 May 16            1
 1462 │ 1977 May 6             1
 1463 │ 1977 May-Jun           2
 1464 │ 1977 Nov               5
 1465 │ 1977 Nov 1             1
 1466 │ 1977 Nov 10            1
 1467 │ 1977 Nov 12            1
 1468 │ 1977 Nov 15            2
 1469 │ 1977 Nov 20            1
 1470 │ 1977 Nov-Dec           2
 1471 │ 1977 Oct               6
 1472 │ 1977 Oct 1             1
 1473 │ 1977 Oct 10            1
 1474 │ 1977 Oct 15            1
 1475 │ 1977 Oct 20            1
 1476 │ 1977 Oct-Dec           1
 1477 │ 1977 Sep               4
 1478 │ 1977 Sep 10            1
 1479 │ 1977 Sep 15            1
 1480 │ 1977 Sep 9             1
 1481 │ 1977 Sep-Oct           1
 1482 │ 1978                  16
 1483 │ 1978 Apr               8
 1484 │ 1978 Apr 10            1
 1485 │ 1978 Apr 13            1
 1486 │ 1978 Apr 15            1
 1487 │ 1978 Apr-Jun           3
 1488 │ 1978 Aug               6
 1489 │ 1978 Dec               7
 1490 │ 1978 Dec 1             1
 1491 │ 1978 Dec 22            1
 1492 │ 1978 Dec 8-15          1
 1493 │ 1978 Feb               6
 1494 │ 1978 Feb 1             1
 1495 │ 1978 Feb 28            1
 1496 │ 1978 Jan              12
 1497 │ 1978 Jan 10            1
 1498 │ 1978 Jan-Apr           1
 1499 │ 1978 Jan-Dec           2
 1500 │ 1978 Jan-Feb           3
 1501 │ 1978 Jan-Mar           1
 1502 │ 1978 Jul               5
 1503 │ 1978 Jul 1-8           1
 1504 │ 1978 Jul-Aug           1
 1505 │ 1978 Jun               6
 1506 │ 1978 Jun 1             1
 1507 │ 1978 Jun 10            1
 1508 │ 1978 Jun 15            1
 1509 │ 1978 Jun 19            1
 1510 │ 1978 Jun 20            1
 1511 │ 1978 Jun 30            2
 1512 │ 1978 Mar               5
 1513 │ 1978 Mar 13            1
 1514 │ 1978 Mar 24            1
 1515 │ 1978 Mar-Apr           1
 1516 │ 1978 May               7
 1517 │ 1978 May 1             1
 1518 │ 1978 May 10            1
 1519 │ 1978 May-Jun           1
 1520 │ 1978 Nov               8
 1521 │ 1978 Nov 18-25         1
 1522 │ 1978 Nov-Dec           2
 1523 │ 1978 Oct              11
 1524 │ 1978 Oct 31            1
 1525 │ 1978 Sep 15            1
 1526 │ 1979                  28
 1527 │ 1979 Apr               2
 1528 │ 1979 Apr 1             1
 1529 │ 1979 Apr 28            1
 1530 │ 1979 Apr-Jun           2
 1531 │ 1979 Aug               4
 1532 │ 1979 Aug 15            1
 1533 │ 1979 Aug 18            1
 1534 │ 1979 Aug 25            1
 1535 │ 1979 Aug 31            1
 1536 │ 1979 Dec               5
 1537 │ 1979 Feb               5
 1538 │ 1979 Feb 17            1
 1539 │ 1979 Feb 3             2
 1540 │ 1979 Feb 9             1
 1541 │ 1979 Jan               7
 1542 │ 1979 Jan 15            1
 1543 │ 1979 Jan 25            1
 1544 │ 1979 Jan-Mar           1
 1545 │ 1979 Jul               5
 1546 │ 1979 Jul 1             1
 1547 │ 1979 Jul 13            2
 1548 │ 1979 Jul 5             1
 1549 │ 1979 Jul-Sep           4
 1550 │ 1979 Jun              13
 1551 │ 1979 Jun 1             2
 1552 │ 1979 Mar               9
 1553 │ 1979 Mar 10            1
 1554 │ 1979 Mar 16            1
 1555 │ 1979 Mar 17            2
 1556 │ 1979 Mar 19            1
 1557 │ 1979 Mar-Apr           1
 1558 │ 1979 May               7
 1559 │ 1979 May 23            1
 1560 │ 1979 May-Jun           2
 1561 │ 1979 Nov              11
 1562 │ 1979 Nov 1             1
 1563 │ 1979 Nov 14            1
 1564 │ 1979 Nov 24            1
 1565 │ 1979 Nov 30            1
 1566 │ 1979 Nov 6             1
 1567 │ 1979 Nov 9             1
 1568 │ 1979 Nov-Dec           2
 1569 │ 1979 Oct               6
 1570 │ 1979 Oct 1             1
 1571 │ 1979 Oct 26            1
 1572 │ 1979 Oct-Dec           1
 1573 │ 1979 Sep               2
 1574 │ 1979 Sep 1             1
 1575 │ 1979 Sep-Dec           1
 1576 │ 1980                  15
 1577 │ 1980 Apr              10
 1578 │ 1980 Apr-Jun           1
 1579 │ 1980 Aug               5
 1580 │ 1980 Aug 1             1
 1581 │ 1980 Aug 2             1
 1582 │ 1980 Aug 28            1
 1583 │ 1980 Aug 30            1
 1584 │ 1980 Dec               2
 1585 │ 1980 Feb               8
 1586 │ 1980 Feb 10            1
 1587 │ 1980 Feb 15            1
 1588 │ 1980 Feb 23            1
 1589 │ 1980 Jan               8
 1590 │ 1980 Jan 1             1
 1591 │ 1980 Jan 12            1
 1592 │ 1980 Jan 14            1
 1593 │ 1980 Jan 15            1
 1594 │ 1980 Jan-Mar           3
 1595 │ 1980 Jul               9
 1596 │ 1980 Jul 12            2
 1597 │ 1980 Jul 15            1
 1598 │ 1980 Jul 19            1
 1599 │ 1980 Jul-Dec           1
 1600 │ 1980 Jul-Sep           4
 1601 │ 1980 Jun               5
 1602 │ 1980 Jun 1             1
 1603 │ 1980 Jun 15            1
 1604 │ 1980 Jun 28            1
 1605 │ 1980 Mar               6
 1606 │ 1980 Mar 3             1
 1607 │ 1980 Mar-Apr           2
 1608 │ 1980 May               7
 1609 │ 1980 May 10            1
 1610 │ 1980 May 26            1
 1611 │ 1980 May 8             1
 1612 │ 1980 May-Jun           3
 1613 │ 1980 Nov               9
 1614 │ 1980 Nov 1             1
 1615 │ 1980 Nov 29            1
 1616 │ 1980 Nov-Dec           3
 1617 │ 1980 Oct               8
 1618 │ 1980 Oct 15            1
 1619 │ 1980 Oct 23            1
 1620 │ 1980 Oct 4             1
 1621 │ 1980 Oct-Dec           1
 1622 │ 1980 Sep               5
 1623 │ 1980 Sep 27            1
 1624 │ 1980 Sep 30            1
 1625 │ 1980 Sep-Oct           2
 1626 │ 1981                  24
 1627 │ 1981 Apr               6
 1628 │ 1981 Apr 30            1
 1629 │ 1981 Apr-Jun           2
 1630 │ 1981 Aug               2
 1631 │ 1981 Dec               7
 1632 │ 1981 Dec 18            1
 1633 │ 1981 Feb               6
 1634 │ 1981 Jan               8
 1635 │ 1981 Jan-Feb           1
 1636 │ 1981 Jan-Mar           3
 1637 │ 1981 Jul               4
