*** COUNTS ***
278×2 DataFrame
 Row │ DP               N
     │ String15         Int64
─────┼────────────────────────
 190 │ 2021 Sep 10          1
 191 │ 2020 May - Jun       1
 192 │ 2021 Dec 4           1
 193 │ 2021 Feb 11          1
 194 │ 2021 Sep 14          1
 195 │ 2020 Nov 27          1
 196 │ 2022 Mar-Apr         1
 197 │ 2020 Oct 15          1
 198 │ 2021 Jun 22          1
 199 │ 2021 May 14          1
 200 │ 2021 Feb 7           1
 201 │ 2022 Mar 28          1
 202 │ 2022 Feb 7           1
 203 │ 2020 Nov-Dec         1
 204 │ 2020 Fall            1
 205 │ 2022 Apr 8           1
 206 │ 2022 Mar 16          1
 207 │ 2021 May 28          1
 208 │ 2022 Mar 3           1
 209 │ 2020 Nov 15          1
 210 │ 2021 Sep 9           1
 211 │ 2020 Oct - Dec       1
 212 │ 2021 Aug 19          1
 213 │ 2021 Jan 8           1
 214 │ 2021 Jan 16          1
 215 │ 2021 Nov 8           1
 216 │ 2020 Jun 15          1
 217 │ 2022 Jan 3           1
 218 │ 2020 May 8           1
 219 │ 2021 Dec 10          1
 220 │ 2021 Dec 30          1
 221 │ 2020 Aug 12          1
 222 │ 2021 Jan 26          1
 223 │ 2021 Jul 9           1
 224 │ 2021 Jan 28          1
 225 │ 2021 Dec 14          1
 226 │ 2020 Nov/Dec         1
 227 │ 2021 Nov-Dec 23      1
 228 │ 2022 Mar 19          1
 229 │ 2021 Dec 21          1
 230 │ 2021 Aug 14          1
 231 │ 2021 Dec 23          1
 232 │ 2021 Feb 5           1
 233 │ 2020 May 12          1
 234 │ 2021 Aug 2           1
 235 │ 2022 Apr 15          1
 236 │ 2021 Feb 26          1
 237 │ 2021 Jul 14          1
 238 │ 2022 Mar 23          1
 239 │ 2020 Dec 9           1
 240 │ 2020 Aug 4           1
 241 │ 2020 Jun 27          1
 242 │ 2020 Dec 30          1
 243 │ 2022 Mar 20          1
 244 │ 2020 May 7           1
 245 │ 2020 Nov 10          1
 246 │ 2022 Mar 12          1
 247 │ 2020 Sep 17          1
 248 │ 2022 Feb 15          1
 249 │ 2021 Nov 3           1
 250 │ 2022 May-Jun 01      1
 251 │ 2021 Sep 3           1
 252 │ 2021 Nov 26          1
 253 │ 2020 Sep 8           1
 254 │ 2022 Apr 2           1
 255 │ 2020 Nov 9           1
 256 │ 2020 Jun 18          1
 257 │ 2021 Apr 18          1
 258 │ 2020 Aug 31          1
 259 │ 2020 Oct 26          1
 260 │ 2021 Mar 5           1
 261 │ 2021 Aug 28          1
 262 │ 2020 Apr 9           1
 263 │ 2021 May 11          1
 264 │ 2021 Feb 9           1
 265 │ 2020 Oct-Dec         1
 266 │ 2020 Aug 19          1
 267 │ 2021 Oct 28          1
 268 │ 2021 Jan 7           1
 269 │ 2021 Aug 3           1
 270 │ 2020 Jul 23          1
 271 │ 2022 Jan 13          1
 272 │ 2020 Oct 29          1
 273 │ 2021 Sep 21          1
 274 │ 2021 Jan 25          1
 275 │ 2020 Jul 21          1
 276 │ 2022 Jan 29          1
 277 │ 2020 Oct 2           1
 278 │ 2021 Oct 15          1
