*** COUNTS ***
1072×2 DataFrame
  Row │ DP                              N
      │ String31                        Int64
──────┼───────────────────────────────────────
  174 │ 2020 Jul & Aug                     41
  175 │ 2020 Jul - Aug                    224
  176 │ 2020 Jul - Sep                     21
  177 │ 2020 Jul 1                        329
  178 │ 2020 Jul 10                        66
  179 │ 2020 Jul 11                        19
  180 │ 2020 Jul 12                         6
  181 │ 2020 Jul 13                        69
  182 │ 2020 Jul 14                       108
  183 │ 2020 Jul 15                       160
  184 │ 2020 Jul 16                        58
  185 │ 2020 Jul 17                        84
  186 │ 2020 Jul 18                        15
  187 │ 2020 Jul 19                        17
  188 │ 2020 Jul 2                         66
  189 │ 2020 Jul 20                        75
  190 │ 2020 Jul 21                        77
  191 │ 2020 Jul 22                        56
  192 │ 2020 Jul 23                       108
  193 │ 2020 Jul 24                        72
  194 │ 2020 Jul 25                        23
  195 │ 2020 Jul 26                        10
  196 │ 2020 Jul 27                        38
  197 │ 2020 Jul 28                       129
  198 │ 2020 Jul 29                        35
  199 │ 2020 Jul 3                         51
  200 │ 2020 Jul 30                        59
  201 │ 2020 Jul 31                        83
  202 │ 2020 Jul 4                         14
  203 │ 2020 Jul 5                          8
  204 │ 2020 Jul 6                         66
  205 │ 2020 Jul 7                         99
  206 │ 2020 Jul 8                         59
  207 │ 2020 Jul 9                         79
  208 │ 2020 Jul-Aug                      128
  209 │ 2020 Jul-Aug,                       2
  210 │ 2020 Jul-Dec                       28
  211 │ 2020 Jul-Oct                       28
  212 │ 2020 Jul-Sep                      134
  213 │ 2020 Jul-Sept.                      2
  214 │ 2020 Jul/Aug                       83
  215 │ 2020 Jul/Sep                       11
  216 │ 2020 Jun                         3165
  217 │ 2020 Jun - Aug                      1
  218 │ 2020 Jun - Jul                     26
  219 │ 2020 Jun 1                        279
  220 │ 2020 Jun 10                        58
  221 │ 2020 Jun 11                        82
  222 │ 2020 Jun 12                        78
  223 │ 2020 Jun 13                        26
  224 │ 2020 Jun 14                         9
  225 │ 2020 Jun 15                        80
  226 │ 2020 Jun 16                        89
  227 │ 2020 Jun 17                        50
  228 │ 2020 Jun 18                        67
  229 │ 2020 Jun 19                        69
  230 │ 2020 Jun 2                         91
  231 │ 2020 Jun 20                        31
  232 │ 2020 Jun 21                         8
  233 │ 2020 Jun 22                        42
  234 │ 2020 Jun 23                        91
  235 │ 2020 Jun 24                        41
  236 │ 2020 Jun 25                       125
  237 │ 2020 Jun 26                        68
  238 │ 2020 Jun 27                        27
  239 │ 2020 Jun 28                        16
  240 │ 2020 Jun 29                        65
  241 │ 2020 Jun 3                         75
  242 │ 2020 Jun 30                       110
  243 │ 2020 Jun 4                         52
  244 │ 2020 Jun 5                         67
  245 │ 2020 Jun 6                         34
  246 │ 2020 Jun 7                         28
  247 │ 2020 Jun 8                         76
  248 │ 2020 Jun 9                         64
  249 │ 2020 Jun-Jul                        4
  250 │ 2020 Jun-Sep                        2
  251 │ 2020 Jun/Jul                        2
  252 │ 2020 Mai                            1
  253 │ 2020 Mar                          234
  254 │ 2020 Mar - Apr                     33
  255 │ 2020 Mar 1                         10
  256 │ 2020 Mar 10                         6
  257 │ 2020 Mar 11                        10
  258 │ 2020 Mar 12                        25
  259 │ 2020 Mar 13                        16
  260 │ 2020 Mar 14                        14
  261 │ 2020 Mar 15                         2
  262 │ 2020 Mar 16                        14
  263 │ 2020 Mar 17                        17
  264 │ 2020 Mar 18                        13
  265 │ 2020 Mar 19                         8
  266 │ 2020 Mar 2                         13
  267 │ 2020 Mar 20                        24
  268 │ 2020 Mar 21                        17
  269 │ 2020 Mar 22                         3
  270 │ 2020 Mar 23                        16
  271 │ 2020 Mar 24                         9
  272 │ 2020 Mar 25                        24
  273 │ 2020 Mar 26                        14
  274 │ 2020 Mar 27                        31
  275 │ 2020 Mar 28                        33
  276 │ 2020 Mar 3                          4
  277 │ 2020 Mar 30                        28
  278 │ 2020 Mar 31                        28
  279 │ 2020 Mar 4                          3
  280 │ 2020 Mar 5                          6
  281 │ 2020 Mar 6                          7
  282 │ 2020 Mar 7                          9
  283 │ 2020 Mar 8                          1
  284 │ 2020 Mar 9                          7
  285 │ 2020 Mar Apr May Jun                6
  286 │ 2020 Mar-Apr                       42
