*** COUNTS ***
445×2 DataFrame
 Row │ PM          N
     │ String15    Int64
─────┼───────────────────
 211 │ 2021/04/09      1
 212 │ 2021/04/10      2
 213 │ 2021/04/11      1
 214 │ 2021/04/14      1
 215 │ 2021/04/15      2
 216 │ 2021/04/17      1
 217 │ 2021/04/20      2
 218 │ 2021/04/25      1
 219 │ 2021/04/26      1
 220 │ 2021/04/27      2
 221 │ 2021/04/28      2
 222 │ 2021/05/01      2
 223 │ 2021/05/03      1
 224 │ 2021/05/04      1
 225 │ 2021/05/06      1
 226 │ 2021/05/07      2
 227 │ 2021/05/11      3
 228 │ 2021/05/13      1
 229 │ 2021/05/14      3
 230 │ 2021/05/18      4
 231 │ 2021/05/19      1
 232 │ 2021/05/20      2
 233 │ 2021/05/25      2
 234 │ 2021/05/27      2
 235 │ 2021/05/28      2
 236 │ 2021/05/29      1
 237 │ 2021/06/02      1
 238 │ 2021/06/03      3
 239 │ 2021/06/04      3
 240 │ 2021/06/06      2
 241 │ 2021/06/07      1
 242 │ 2021/06/08      1
 243 │ 2021/06/10      2
 244 │ 2021/06/11      2
 245 │ 2021/06/12      2
 246 │ 2021/06/13      1
 247 │ 2021/06/14      1
 248 │ 2021/06/15      1
 249 │ 2021/06/17      5
 250 │ 2021/06/18      3
 251 │ 2021/06/22      1
 252 │ 2021/06/24      1
 253 │ 2021/06/25      3
 254 │ 2021/06/27      2
 255 │ 2021/06/29      1
 256 │ 2021/06/30      4
 257 │ 2021/07/01      4
 258 │ 2021/07/04      1
 259 │ 2021/07/06      3
 260 │ 2021/07/07      1
 261 │ 2021/07/08      1
 262 │ 2021/07/09      4
 263 │ 2021/07/10      1
 264 │ 2021/07/12      3
 265 │ 2021/07/14      1
 266 │ 2021/07/15      2
 267 │ 2021/07/16      1
 268 │ 2021/07/17      1
 269 │ 2021/07/20      2
 270 │ 2021/07/21      3
 271 │ 2021/07/22      2
 272 │ 2021/07/23      1
 273 │ 2021/07/28      2
 274 │ 2021/07/29      1
 275 │ 2021/07/30      1
 276 │ 2021/07/31      4
 277 │ 2021/08/01      1
 278 │ 2021/08/02      1
 279 │ 2021/08/03      5
 280 │ 2021/08/04      3
 281 │ 2021/08/05      1
 282 │ 2021/08/06      1
 283 │ 2021/08/07      2
 284 │ 2021/08/10      1
 285 │ 2021/08/11      3
 286 │ 2021/08/15      1
 287 │ 2021/08/17      3
 288 │ 2021/08/18      2
 289 │ 2021/08/20      1
 290 │ 2021/08/21      2
 291 │ 2021/08/24      2
 292 │ 2021/08/25      1
 293 │ 2021/08/26      2
 294 │ 2021/08/28      6
 295 │ 2021/08/29      1
 296 │ 2021/08/31      2
 297 │ 2021/09/03      1
 298 │ 2021/09/07      1
 299 │ 2021/09/10      1
 300 │ 2021/09/11      1
 301 │ 2021/09/13      1
 302 │ 2021/09/14      2
 303 │ 2021/09/15      1
 304 │ 2021/09/16      2
 305 │ 2021/09/17      2
 306 │ 2021/09/18      2
 307 │ 2021/09/19      2
 308 │ 2021/09/21      2
 309 │ 2021/09/22      1
 310 │ 2021/09/25      1
 311 │ 2021/09/27      1
 312 │ 2021/09/29      3
 313 │ 2021/09/30      2
 314 │ 2021/10/01      3
 315 │ 2021/10/03      3
 316 │ 2021/10/04      2
 317 │ 2021/10/05      2
 318 │ 2021/10/06      1
 319 │ 2021/10/07      3
 320 │ 2021/10/09      2
 321 │ 2021/10/10      1
 322 │ 2021/10/12      2
 323 │ 2021/10/13      1
 324 │ 2021/10/16      1
 325 │ 2021/10/18      2
 326 │ 2021/10/19      1
 327 │ 2021/10/21      2
 328 │ 2021/10/22      2
 329 │ 2021/10/25      1
 330 │ 2021/10/26      4
 331 │ 2021/10/27      1
 332 │ 2021/10/28      4
 333 │ 2021/10/29      3
 334 │ 2021/10/30      2
 335 │ 2021/10/31      1
 336 │ 2021/11/02      4
 337 │ 2021/11/04      3
 338 │ 2021/11/05      2
 339 │ 2021/11/06      4
 340 │ 2021/11/07      1
 341 │ 2021/11/09      6
 342 │ 2021/11/11      2
 343 │ 2021/11/13      1
 344 │ 2021/11/16      3
 345 │ 2021/11/18      1
 346 │ 2021/11/19      5
 347 │ 2021/11/20      1
 348 │ 2021/11/23      3
 349 │ 2021/11/24      3
 350 │ 2021/11/28      1
 351 │ 2021/11/29      2
 352 │ 2021/11/30      2
 353 │ 2021/12/02      4
 354 │ 2021/12/03      3
 355 │ 2021/12/05      1
 356 │ 2021/12/06      2
 357 │ 2021/12/07      4
 358 │ 2021/12/08      2
 359 │ 2021/12/09      1
 360 │ 2021/12/11      3
 361 │ 2021/12/14      1
 362 │ 2021/12/16      3
 363 │ 2021/12/18      2
 364 │ 2021/12/19      1
 365 │ 2021/12/20      1
 366 │ 2021/12/21      1
 367 │ 2021/12/22      1
 368 │ 2021/12/24      3
 369 │ 2021/12/25      3
 370 │ 2021/12/27      1
 371 │ 2021/12/28      3
 372 │ 2021/12/29      2
 373 │ 2021/12/30      1
 374 │ 2021/12/31      1
 375 │ 2022/01/01      1
 376 │ 2022/01/03      1
 377 │ 2022/01/04      1
 378 │ 2022/01/05      2
 379 │ 2022/01/08      3
 380 │ 2022/01/09      1
 381 │ 2022/01/10      1
 382 │ 2022/01/11      2
 383 │ 2022/01/12      1
 384 │ 2022/01/14      1
 385 │ 2022/01/15      1
 386 │ 2022/01/19      1
 387 │ 2022/01/21      1
 388 │ 2022/01/22      2
 389 │ 2022/01/23      2
 390 │ 2022/01/25      1
 391 │ 2022/01/26      3
 392 │ 2022/01/29      2
 393 │ 2022/02/02      3
 394 │ 2022/02/03      2
 395 │ 2022/02/08      1
 396 │ 2022/02/09      1
 397 │ 2022/02/10      1
 398 │ 2022/02/11      2
 399 │ 2022/02/14      4
 400 │ 2022/02/15      5
